"setting","scenario","method","fitted_model","implementation","glmnet_version","grf_version","effect_basis","calibration","treated_nuisance","external_nuisance","trial_nuisance","rlearner_nuisance","penalty_grid","training_validation_folds","trial_crossfit_folds","predictor_standardization","interval_method","population_targets","configuration_supported"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",1,"racer","cross-fitted trial-arm augmentation; unpenalized effect-basis regression","roscar / stats / glmnet","5.0","2.6.1","~ X1 + X2","intercept","dictionary","ridge; main effects + sine/cosine first four observed coordinates","ridge; main effects + sine/cosine first four; Scenario 5 treated restriction applies","lasso; main effects + sine/cosine first four observed coordinates","25 log-spaced values from 1e-4 to 1e2; minimum validation MSE",5,5,"training sample only; unpenalized intercept","conditional trial-unit percentile bootstrap","integrated full prediction dictionary including Recipe C offset",TRUE
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",1,"A","two external arms; identity transport; trial calibration","roscar / stats / glmnet","5.0","2.6.1","~ X1 + X2","intercept","dictionary","ridge; main effects + sine/cosine first four observed coordinates","ridge; main effects + sine/cosine first four; Scenario 5 treated restriction applies","lasso; main effects + sine/cosine first four observed coordinates","25 log-spaced values from 1e-4 to 1e2; minimum validation MSE",5,5,"training sample only; unpenalized intercept","conditional trial-unit percentile bootstrap","integrated full prediction dictionary including Recipe C offset",TRUE
"s1_n500_nonprognostic_rho0_g1_k0_dictionary_intercept",1,"racer","cross-fitted trial-arm augmentation; unpenalized effect-basis regression","roscar / stats / glmnet","5.0","2.6.1","~ X1 + X2","intercept","dictionary","ridge; main effects + sine/cosine first four observed coordinates","ridge; main effects + sine/cosine first four; Scenario 5 treated restriction applies","lasso; main effects + sine/cosine first four observed coordinates","25 log-spaced values from 1e-4 to 1e2; minimum validation MSE",5,5,"training sample only; unpenalized intercept","conditional trial-unit percentile bootstrap","integrated full prediction dictionary including Recipe C offset",TRUE
"s1_n500_nonprognostic_rho0_g1_k0_dictionary_intercept",1,"A","two external arms; identity transport; trial calibration","roscar / stats / glmnet","5.0","2.6.1","~ X1 + X2","intercept","dictionary","ridge; main effects + sine/cosine first four observed coordinates","ridge; main effects + sine/cosine first four; Scenario 5 treated restriction applies","lasso; main effects + sine/cosine first four observed coordinates","25 log-spaced values from 1e-4 to 1e2; minimum validation MSE",5,5,"training sample only; unpenalized intercept","conditional trial-unit percentile bootstrap","integrated full prediction dictionary including Recipe C offset",TRUE
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_ridge",1,"racer","cross-fitted trial-arm augmentation; unpenalized effect-basis regression","roscar / stats / glmnet","5.0","2.6.1","~ X1 + X2","ridge","dictionary","ridge; main effects + sine/cosine first four observed coordinates","ridge; main effects + sine/cosine first four; Scenario 5 treated restriction applies","lasso; main effects + sine/cosine first four observed coordinates","25 log-spaced values from 1e-4 to 1e2; minimum validation MSE",5,5,"training sample only; unpenalized intercept","conditional trial-unit percentile bootstrap","integrated full prediction dictionary including Recipe C offset",TRUE
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_ridge",1,"A","two external arms; identity transport; trial calibration","roscar / stats / glmnet","5.0","2.6.1","~ X1 + X2","ridge","dictionary","ridge; main effects + sine/cosine first four observed coordinates","ridge; main effects + sine/cosine first four; Scenario 5 treated restriction applies","lasso; main effects + sine/cosine first four observed coordinates","25 log-spaced values from 1e-4 to 1e2; minimum validation MSE",5,5,"training sample only; unpenalized intercept","conditional trial-unit percentile bootstrap","integrated full prediction dictionary including Recipe C offset",TRUE
"s1_n500_nonprognostic_rho0_g1_k0_dictionary_ridge",1,"racer","cross-fitted trial-arm augmentation; unpenalized effect-basis regression","roscar / stats / glmnet","5.0","2.6.1","~ X1 + X2","ridge","dictionary","ridge; main effects + sine/cosine first four observed coordinates","ridge; main effects + sine/cosine first four; Scenario 5 treated restriction applies","lasso; main effects + sine/cosine first four observed coordinates","25 log-spaced values from 1e-4 to 1e2; minimum validation MSE",5,5,"training sample only; unpenalized intercept","conditional trial-unit percentile bootstrap","integrated full prediction dictionary including Recipe C offset",TRUE
"s1_n500_nonprognostic_rho0_g1_k0_dictionary_ridge",1,"A","two external arms; identity transport; trial calibration","roscar / stats / glmnet","5.0","2.6.1","~ X1 + X2","ridge","dictionary","ridge; main effects + sine/cosine first four observed coordinates","ridge; main effects + sine/cosine first four; Scenario 5 treated restriction applies","lasso; main effects + sine/cosine first four observed coordinates","25 log-spaced values from 1e-4 to 1e2; minimum validation MSE",5,5,"training sample only; unpenalized intercept","conditional trial-unit percentile bootstrap","integrated full prediction dictionary including Recipe C offset",TRUE
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_lasso",1,"racer","cross-fitted trial-arm augmentation; unpenalized effect-basis regression","roscar / stats / glmnet","5.0","2.6.1","~ X1 + X2","lasso","dictionary","ridge; main effects + sine/cosine first four observed coordinates","ridge; main effects + sine/cosine first four; Scenario 5 treated restriction applies","lasso; main effects + sine/cosine first four observed coordinates","25 log-spaced values from 1e-4 to 1e2; minimum validation MSE",5,5,"training sample only; unpenalized intercept","conditional trial-unit percentile bootstrap","integrated full prediction dictionary including Recipe C offset",TRUE
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_lasso",1,"A","two external arms; identity transport; trial calibration","roscar / stats / glmnet","5.0","2.6.1","~ X1 + X2","lasso","dictionary","ridge; main effects + sine/cosine first four observed coordinates","ridge; main effects + sine/cosine first four; Scenario 5 treated restriction applies","lasso; main effects + sine/cosine first four observed coordinates","25 log-spaced values from 1e-4 to 1e2; minimum validation MSE",5,5,"training sample only; unpenalized intercept","conditional trial-unit percentile bootstrap","integrated full prediction dictionary including Recipe C offset",TRUE
